	SiO2	TiO2	Al2O3	FeOt	CaO	MgO	MnO	K2O	Na2O	A/NK	A/CNK	Fe#	K2O/Na2O	Na2O+K2O	Q	An	Ab	Or	Group
0	65.4069	0.8270369	17.0849	4.91441	1.8135151	1.796028	0.077148969	5.131949	2.660096	1.719983892123126	1.2913293373231884	0.7323530893214423	1.9292345088297564	7.792045	24.548927624489	7.11548315238962	22.508990792138	30.3283492055897	1- CPG & MPG
1	69.64232	0.7087655	14.88713	4.186309	1.4368795	1.629346	0.053972086	5.018386	2.215911	1.6396506925524135	1.2732792091286098	0.71983448124072	2.264705577074169	7.234297	32.6695512541047	5.68492755205353	18.7504211484087	29.6572243910535	1- CPG & MPG
2	70.61077	0.5705854	15.28393	2.822104	1.204323	1.3306273	0.053180775	5.597277	2.329983	1.5447763363140465	1.264846767950749	0.6795777997964857	2.402282334248791	7.92726	31.6356926888029	4.686449199801	19.7156666123471	33.078304452444	1- CPG & MPG
3	70.61724	0.4775028	15.70859	2.508109	1.3115688	0.9779424	0.040660718	5.28068	2.877528	1.5029365717827414	1.2237342891406955	0.7194698850395609	1.8351446102348963	8.158208	29.9733839282175	5.19915547198341	24.3488397622188	31.2073068307914	1- CPG & MPG
4	70.70878	0.5322106	15.28031	2.535746	1.2359237	1.2071555	0.060855686	5.569955	2.642243	1.4723642403004313	1.2103013212511349	0.6774813603831145	2.108040403551074	8.212198	30.221927169184	4.64974963005235	22.3579236830517	32.9168392553044	1- CPG & MPG
5	70.96736	0.4840032	15.4829	2.469707	1.4769905	1.0065185	0.039552952	5.327158	2.559492	1.551542433849457	1.2225457731538627	0.7104564994417077	2.0813341084871526	7.8866499999999995	31.5593475977198	6.11040533033336	21.6577077897004	31.4819785031673	1- CPG & MPG
6	72.39802	0.4696716	14.28857	2.680885	1.087105	1.0280002	0.042217669	5.051344	2.751537	1.4293815381195305	1.1934107917633567	0.7228277111408031	1.8358263036259372	7.802881	33.7782817998063	4.06941047809523	23.282739042962	29.8519967344882	1- CPG & MPG
7	73.16647	0.4284571	14.39149	2.404058	1.0615978	0.7688895	0.060450624	5.041794	2.458325	1.5143184794909774	1.2586810333339251	0.7576734251039451	2.050906206461717	7.500119	36.7745231846275	3.83946704854803	20.8016608382113	29.7955589688531	1- CPG & MPG
8	73.17825	0.3625764	14.35444	2.246656	1.0961613	0.6777228	0.021080025	5.046558	2.857397	1.4121012885474047	1.1806264101041468	0.7682506794263452	1.7661382020069314	7.903955	34.3412857068646	4.39848139536885	24.1784968521748	29.8237128448202	1- CPG & MPG
9	74.77016	0.5301808	13.54476	2.728587	1.4312786	1.1798095	0.047150467	3.283768	2.303038	1.844194130264697	1.361711309833272	0.6981346442204622	1.4258418662653416	5.586805999999999	44.5002016758821	5.91659777886634	19.4876655338544	19.4061286684924	1- CPG & MPG
10	61.08795	1.9111071	15.4072	10.384547	1.4138663	3.5014471	0.173359521	4.343331	1.299677	2.252136576061544	1.6370063978395584	0.7478432530804546	3.3418541683818366	5.643008	30.0092288209038	3.89469893724923	10.9975044606486	25.6678426234288	1- CPG & MPG
11	61.45151	1.7132862	16.18593	9.300091	1.3069987	3.1750611	0.17949736	4.895871	1.403734	2.1267528553126844	1.6207012562002676	0.7454891872620936	3.487748391076942	6.299605	28.115922968014	3.94925531589347	11.878005786487	28.9331958196622	1- CPG & MPG
